feature,mean_abs_shap
sentence_count,1.9256226
tfidf_조금,1.7665519
adjective_ratio,1.2457451
sentence_len_std,0.85337186
verb_ratio,0.43301973
tfidf_나중에,0.26039103
josa_density,0.25787628
punctuation_ratio,0.21771143
avg_sentence_len,0.12622799
tfidf_나중에 해야겠다,0.12468811
tfidf_크게,0.12271777
adverb_ratio,0.122290395
tfidf_아주,0.12228464
tfidf_가면,0.11722569
tfidf_않았다,0.09484632
tfidf_그냥,0.082106404
tfidf_내돈내산,0.07652256
tfidf_정도,0.06833471
noun_ratio,0.055964287
tfidf_처음,0.04611274
tfidf_빨리,0.04189275
tfidf_해야겠다,0.035209484
noun_density,0.023662247
tfidf_시간,0.020914037
tfidf_느낌은,0.01870738
tfidf_있어서,0.017348656
tfidf_연말정산,0.014419108
josa_ratio,0.0017129233
tfidf_연말에,0.0
tfidf_어떤,0.0
tfidf_엄청,0.0
tfidf_의료비,0.0
tfidf_엄청난,0.0
tfidf_음식은,0.0
tfidf_엄청난 아니고,0.0
tfidf_음식,0.0
tfidf_없고,0.0
tfidf_없고 그냥,0.0
tfidf_위해,0.0
tfidf_없었다,0.0
tfidf_오랜만에,0.0
tfidf_약속,0.0
tfidf_연말정산 미리보기,0.0
tfidf_연말정산 소득공제,0.0
tfidf_위치는 찾기,0.0
tfidf_위치는,0.0
tfidf_연말정산에서,0.0
tfidf_웨이팅,0.0
tfidf_연말정산은,0.0
tfidf_연말정산이란,0.0
tfidf_요즘,0.0
tfidf_오늘,0.0
tfidf_오늘은,0.0
tfidf_오래,0.0
tfidf_양도,0.0
tfidf_아이폰을,0.0
tfidf_않음,0.0
tfidf_신용카드,0.0
tfidf_쓰다,0.0
tfidf_쓰기엔,0.0
tfidf_싸진 않았고,0.0
tfidf_싸진,0.0
tfidf_싶었다,0.0
tfidf_실제,0.0
tfidf_신경,0.0
tfidf_아니고,0.0
tfidf_시간이,0.0
tfidf_시간 맞으면,0.0
tfidf_쉬운,0.0
tfidf_수도 있는데,0.0
tfidf_수도,0.0
tfidf_소득공제,0.0
tfidf_쓰다 보니,0.0
tfidf_아니고 그냥,0.0
tfidf_않은데 기억은,0.0
tfidf_아이폰11프로,0.0
tfidf_않은데,0.0
tfidf_않았고 위치는,0.0
tfidf_않았고,0.0
tfidf_안녕하세요,0.0
tfidf_이런 곳도,0.0
tfidf_아이폰은,0.0
tfidf_아이폰11pro,0.0
tfidf_아니었음,0.0
tfidf_아이폰11,0.0
tfidf_아이폰 11,0.0
tfidf_아이폰,0.0
tfidf_아님,0.0
tfidf_아닐 수도,0.0
tfidf_아닐,0.0
tfidf_이런,0.0
