category,title,content,date,is_ai
맛집_리뷰,"강남역 맛집 바비레드(양식, 2019년 봄)  데이트 맛집에 필요한... ","강남역 바비레드 다녀왔는데 생각보다 분위기가 편해서 좋았어요. 음식도 깔끔하게 나와서 부담 없이 먹기 괜찮았고, 다음에 근처 가면 또 들러보고 싶더라고요. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요.",20190402,1
맛집_리뷰,강남역 맛집 청류벽,근처에서 밥 먹을 곳 찾다가 강남역에 들렀어요. 맛이 자극적이지 않고 양도 적당해서 만족했답니다. 웨이팅만 조금 피하면 더 좋을 것 같아요. 처음 가보는 분들도 크게 부담 없이 즐길 수 있을 것 같아요. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요.,20191002,1
맛집_리뷰,2019년 강남역 맛집 청춘양꼬치 방문기,강남역 청춘양꼬치는 가볍게 들른 곳인데 은근 기억에 남았어요. 메뉴가 깔끔하고 직원분들도 친절해서 편하게 먹고 왔습니다. 재방문 의사 있어요. 사진으로 남겨두기에도 괜찮아서 기억에 오래 남을 것 같아요. 다음에는 조금 더 여유 있게 다시 가보고 싶어요.,20190401,1
맛집_리뷰,강남역맛집 : 바비레드 - 매콤한 크림파스타 &amp; 큐브 스테이크,친구랑 강남역맛집 바비레드에 갔는데 전체적으로 무난해서 좋았어요. 음식 나오는 속도도 괜찮고 맛도 기대 이상이라 근처 맛집 찾는 분들께 추천드려요. 전체적으로 무난하면서도 기분 좋게 마무리할 수 있었어요. 짧게 들렀지만 생각보다 알차게 시간을 보냈어요.,20200110,1
맛집_리뷰,강남역맛집:: 빠네치킨으로 유명한 치킨맛집 꼭그닭,강남역맛집에서 식사했는데 분위기가 너무 시끄럽지 않아 편했어요. 대표 메뉴가 깔끔했고 가격도 크게 부담스럽지 않아서 한 번쯤 가볼 만했답니다. 짧게 들렀지만 생각보다 알차게 시간을 보냈어요. 처음 가보는 분들도 크게 부담 없이 즐길 수 있을 것 같아요.,20190104,1
맛집_리뷰,[식사일기] 서촌레이어드 카페부터 강남역맛집까지 2019년... ,"식사일기 서촌레이어드 다녀왔는데 생각보다 분위기가 편해서 좋았어요. 음식도 깔끔하게 나와서 부담 없이 먹기 괜찮았고, 다음에 근처 가면 또 들러보고 싶더라고요. 처음 가보는 분들도 크게 부담 없이 즐길 수 있을 것 같아요. 전체적으로 무난하면서도 기분 좋게 마무리할 수 있었어요.",20190202,1
맛집_리뷰,"홍콩을 연상시키는 강남역맛집, 구구당!",이번에 근처에서 밥 먹을 곳 찾다가 홍콩을에 들렀어요. 맛이 자극적이지 않고 양도 적당해서 만족했답니다. 웨이팅만 조금 피하면 더 좋을 것 같아요. 처음 가보는 분들도 크게 부담 없이 즐길 수 있을 것 같아요. 사진으로 남겨두기에도 괜찮아서 기억에 오래 남을 것 같아요.,20200101,1
맛집_리뷰,[강남역 맛집] 바비레드 추천,강남역은 가볍게 들른 곳인데 은근 기억에 남았어요. 메뉴가 깔끔하고 직원분들도 친절해서 편하게 먹고 왔습니다. 재방문 의사 있어요. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요. 기대보다 편하게 즐길 수 있어서 만족스러운 시간이었답니다.,20191209,1
맛집_리뷰,강남역 맛집- 옛터 남도밥상  솔직후기,친구랑 강남역에 갔는데 전체적으로 무난해서 좋았어요. 음식 나오는 속도도 괜찮고 맛도 기대 이상이라 근처 맛집 찾는 분들께 추천드려요. 기대보다 편하게 즐길 수 있어서 만족스러운 시간이었답니다. 개인적으로는 너무 과하지 않은 점이 마음에 들었어요.,20190725,1
맛집_리뷰,강남역맛집 인기명 역삼본점 조갈찜 토토가 연말모임 회식장소,강남역맛집 인기명에서 식사했는데 분위기가 너무 시끄럽지 않아 편했어요. 대표 메뉴가 깔끔했고 가격도 크게 부담스럽지 않아서 한 번쯤 가볼 만했답니다. 짧게 들렀지만 생각보다 알차게 시간을 보냈어요. 전체적으로 무난하면서도 기분 좋게 마무리할 수 있었어요.,20190120,1
맛집_리뷰,"강남역 맛집 - 토끼정, 커리하우스빈103","이번에 강남역 토끼정 다녀왔는데 생각보다 분위기가 편해서 좋았어요. 음식도 깔끔하게 나와서 부담 없이 먹기 괜찮았고, 다음에 근처 가면 또 들러보고 싶더라고요. 사진으로 남겨두기에도 괜찮아서 기억에 오래 남을 것 같아요.",20190627,1
맛집_리뷰,강남역 맛집 / 알요리 전문점 알부자 - 오랫동안 사랑받는 알찜... ,가볍게 근처에서 밥 먹을 곳 찾다가 강남역에 들렀어요. 맛이 자극적이지 않고 양도 적당해서 만족했답니다. 웨이팅만 조금 피하면 더 좋을 것 같아요. 짧게 들렀지만 생각보다 알차게 시간을 보냈어요. 사진으로 남겨두기에도 괜찮아서 기억에 오래 남을 것 같아요.,20200330,1
